Epoch,Accuracy,Cost,Val_accuracy,Val_cost
1,0.7145408987998962,0.6309927701950073,0.7911301851272583,0.5548452138900757
2,0.9442657828330994,0.1424323916435241,0.9585121870040894,0.1071271300315857
3,0.9807074069976808,0.0613320767879486,0.995708167552948,0.0136686814948916
4,0.9771347045898438,0.0610816366970539,0.9814019799232484,0.0599697045981884
5,0.9992854595184326,0.0035911013837903,0.995708167552948,0.0100772744044661
6,1.0,0.0005103245493955,0.9971387982368468,0.0035998409148305
7,1.0,0.0001236185198649,0.9971387982368468,0.0053648701868951
8,1.0,5.4325704695656896e-05,0.9971387982368468,0.0041163489222526
9,1.0,3.6620029277401045e-05,0.9971387982368468,0.0040942840278148
10,1.0,2.841869536496233e-05,0.9971387982368468,0.0038059931248426
11,1.0,2.205818054790143e-05,0.9985693693161012,0.0034615448676049
12,1.0,1.743409848131705e-05,0.9985693693161012,0.0031203723046928
13,1.0,1.4286315490608104e-05,0.9985693693161012,0.0029458058997988
14,1.0,1.193552634504158e-05,0.9985693693161012,0.0028004641644656
15,1.0,1.008021990855923e-05,0.9985693693161012,0.0027729847934097
16,1.0,8.309608347190078e-06,0.9985693693161012,0.0025255139917135
17,1.0,6.949530416022753e-06,0.9985693693161012,0.0023254044353961
18,1.0,5.311279892339371e-06,0.9985693693161012,0.0030274514574557
19,1.0,4.3790205381810665e-06,0.9985693693161012,0.0019645306747406
20,1.0,3.463971324890736e-06,0.9985693693161012,0.001882268465124
