Epoch,Accuracy,Cost,Val_accuracy,Val_cost
1,0.3376205861568451,1.6318029165267944,0.3333333432674408,1.0988689661026
2,0.3179706931114197,1.0995298624038696,0.3333333432674408,1.0986496210098269
3,0.3347624242305755,1.0990726947784424,0.3333333432674408,1.0987080335617063
4,0.3190425038337707,1.099094271659851,0.3333333432674408,1.098713517189026
5,0.3351196944713592,1.0990269184112549,0.3333333432674408,1.0988163948059082
6,0.336548775434494,1.0990062952041626,0.3333333432674408,1.0995227098464966
7,0.3286888301372528,1.0997419357299805,0.3333333432674408,1.0986294746398926
8,0.3211861252784729,1.0992772579193115,0.3333333432674408,1.0986655950546265
9,0.3168988823890686,1.0993224382400513,0.3333333432674408,1.0987032651901243
10,0.331904262304306,1.09924578666687,0.3333333432674408,1.0989985466003418
11,0.3208288550376892,1.0993008613586426,0.3333333432674408,1.0988374948501587
12,0.3333333432674408,1.099358320236206,0.3333333432674408,1.0989179611206057
13,0.3322615325450897,1.099536418914795,0.3333333432674408,1.099244475364685
14,0.3315469920635223,1.0994359254837036,0.3333333432674408,1.098823308944702
15,0.3333333432674408,1.0990852117538452,0.3333333432674408,1.0987238883972168
16,0.3229724764823913,1.0997260808944702,0.3333333432674408,1.0986932516098022
17,0.318685233592987,1.099522590637207,0.3333333432674408,1.0986140966415403
18,0.3372633159160614,1.098974347114563,0.3333333432674408,1.0992649793624878
19,0.3265452086925506,1.0994925498962402,0.3333333432674408,1.0988261699676514
20,0.3333333432674408,1.0994993448257446,0.3333333432674408,1.0987604856491089
